spectrum_1,spectrum_2,spectrum_3,spectrum_4,spectrum_5,spectrum_6,spectrum_7,spectrum_8,spectrum_9,spectrum_10,spectrum_11,spectrum_12,spectrum_13,spectrum_14,spectrum_15,spectrum_16,alcohol_percentage,sugar_percentage
2428,1825,2071,2994,1847,2080,1275,2298,2557,1597,2101,2103,3625,2452,2158,2757,2,2
2496,1852,2121,3072,1839,2152,1340,2384,2413,1650,2172,2181,3709,2525,2224,2852,2,2
2586,1918,2209,3165,2021,2205,1367,2424,2735,1687,2207,2216,3813,2590,2259,2938,2,2
2788,1824,2279,3530,1692,2065,1246,2472,3007,1615,2121,2226,4788,3039,2403,3611,2,3
2949,1796,2340,3778,1731,1966,1157,2417,3056,1516,2012,2195,5270,3233,2405,3917,2,3
2837,1775,2275,3673,1729,1963,1153,2434,3135,1516,1991,2196,5307,3239,2411,3853,2,3
2847,1740,2280,3672,1828,1976,1188,2445,3327,1546,2022,2202,5318,3243,2426,3921,2,3
2745,1748,2207,3556,1655,1906,1135,2358,3201,1486,1948,2121,5115,3128,2338,3724,2,3
2756,1737,2206,3564,1461,1918,1135,2355,3202,1484,1965,2134,5126,3142,2333,3675,2,3
2754,1688,2199,3537,1673,1910,1131,2355,3174,1503,1958,2115,5132,3128,2341,3743,2,3
2806,1736,2234,3735,1678,1977,1205,2356,2981,1532,1982,2152,5760,3399,2377,4097,2,3
2796,1761,2234,3717,1611,1972,1186,2353,3106,1537,1987,2141,5676,3338,2347,4087,2,3
2800,1802,2229,3699,1666,1985,1196,2339,3007,1542,2006,2123,5644,3332,2332,4059,2,3
2965,1884,2355,3899,1794,2033,1195,2488,3179,1608,2088,2252,5975,3544,2494,4279,2,3
3748,2284,2963,4985,2131,2409,1384,3076,4234,1850,2478,2769,7878,3823,2999,3864,2,4
3716,2294,2948,4975,2074,2388,1382,3074,4193,1851,2496,2783,8026,4678,3215,5756,2,4
3805,2287,3013,5076,2041,2404,1382,3119,4267,1878,2511,2807,8073,4701,3229,5717,2,4
3831,2303,3014,5129,2023,2397,1360,3130,4386,1857,2506,2800,8107,4725,3235,5832,2,4
3833,2300,3032,5126,2020,2386,1373,3143,4382,1872,2504,2828,8190,4763,3251,5901,2,4
3882,2317,3051,5184,2068,2412,1395,3173,4547,1863,2520,2847,8321,4813,3277,5874,2,4
3875,2371,3048,5204,2222,2407,1368,3160,4435,1862,2526,2841,8331,4822,3287,5971,2,4
3907,2344,3085,5209,2177,2413,1353,3150,4430,1862,2514,2830,8355,4830,3237,5975,2,4
3910,2323,3073,5238,2251,2429,1384,3168,4438,1863,2531,2848,8394,4857,3294,5909,2,4
